player_id,first_name,last_name,year,team,height,oreb_rate,dreb_rate,ast_rate,stl_rate,blk_rate,tov_rate,pts_hundred,usg_rate,per,ftr,ft_perc,fga_hundred,two_perc,two_m_ast,fga_dunk_perc,three_a_rate,three_a_corner_perc,three_perc,three_m_ast,zero_three_a_perc,three_ten_a_perc,ten_threep_a_perc,cluster,new_position,old_position,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9
2013adavisnop,anthony,davis,2013,nop,82,10,23.3,8,2,6.7,8.3,30.8,25.2,26.5,0.438,0.791,22.2,0.522,0.667,0.159,0.009,0.667,0.222,1,0.396,0.207,0.388,8,Skilled Forward,PF,3.83E-177,5.35E-37,2.67E-110,0,3.34E-10,2.24E-105,0,1,6.37E-24
2011sibakaokc,serge,ibaka,2011,okc,82,13.2,18.2,2.5,1,9.8,12.7,17.4,15.7,19,0.241,0.661,14.1,0.536,0.674,0.178,0.006,0.333,0.333,1,0.402,0.169,0.422,8,Skilled Forward,PF,2.86E-264,2.12E-35,2.75E-112,0,1.88E-10,3.32E-185,0,1,1.50E-42
2014adavisnop,anthony,davis,2014,nop,82,8,24.1,11.6,2.1,6.2,6.3,35.4,27.8,30.8,0.384,0.805,25.7,0.54,0.715,0.135,0.01,0.333,0.083,1,0.354,0.169,0.467,8,Skilled Forward,PF,8.65E-279,3.41E-74,1.82E-284,0,6.01E-11,1.22E-107,0,1,2.71E-67
2018jcollinsatl,john,collins,2018,atl,82,12.3,22.1,11,0.6,1.8,11.2,30,23.7,21.8,0.32,0.763,21,0.609,0.727,0.215,0.19,0.31,0.348,1,0.543,0.189,0.078,8,Skilled Forward,PF,4.12E-146,1.97E-16,8.68E-46,0,1.14E-09,1.93E-166,0,0.999999999,2.50E-19
2015ekanterokc,enes,kanter,2015,okc,83,16.7,24.9,3.1,0.7,1.5,12.2,29.9,23.4,24,0.349,0.797,20.7,0.579,0.594,0.065,0.029,0.762,0.476,1,0.62,0.159,0.192,8,Skilled Forward,C,1.36E-136,4.43E-12,2.52E-66,0,8.09E-10,4.28E-56,0,0.999999999,4.61E-97
2018ko'quinnind,kyle,o'quinn,2018,ind,82,8.9,26.4,22.4,1.2,6,17.6,20.6,20.8,16.8,0.154,0.81,17.9,0.548,0.809,0.029,0.088,0.167,0.083,1,0.272,0.11,0.53,8,Skilled Forward,C,6.77E-217,3.24E-61,3.55E-163,0,7.40E-10,8.10E-48,0,0.999999999,1.98E-67
2009astoudemirephx,amar'e,stoudemire,2009,phx,82,9.7,18.9,4.8,0.9,2.1,12.1,33.6,27.3,22.6,0.5,0.771,22.4,0.559,0.612,0.164,0.005,0.167,0.167,1,0.428,0.264,0.303,8,Skilled Forward,PF,1.03E-164,1.98E-66,1.91E-160,0,7.40E-09,4.22E-114,0,0.999999993,2.39E-19
2012sibakaokc,serge,ibaka,2012,okc,82,11.1,17,2.8,0.6,7.4,12.7,21.8,18.1,19.4,0.246,0.749,16.1,0.591,0.746,0.135,0.073,0.912,0.351,0.95,0.334,0.154,0.438,8,Skilled Forward,PF,1.03E-185,6.37E-25,3.04E-77,0,9.01E-09,3.23E-105,0,0.999999991,2.63E-62
2018mleonardpor,meyers,leonard,2018,por,85,6.1,21.8,11.8,0.7,0.8,14,19.7,14.8,15.8,0.211,0.843,13.3,0.626,0.817,0.227,0.459,0.126,0.45,0.94,0.331,0.095,0.116,8,Skilled Forward,C,2.49E-153,3.38E-12,2.06E-37,0,1.20E-08,6.52E-197,0,0.999999988,7.92E-28
2010smariondal,shawn,marion,2010,dal,79,9.1,19.2,8.3,1.6,1.7,12.5,23.3,21.5,17,0.197,0.768,19.5,0.536,0.685,0.096,0.04,0.576,0.152,1,0.361,0.428,0.172,8,Skilled Forward,SF,6.05E-124,3.04E-36,1.93E-100,0,1.26E-08,3.33E-42,0,0.999999987,3.37E-27
2016bbasslac,brandon,bass,2016,lac,80,8.6,16.2,5.7,1.2,1.6,11.4,25.3,19.7,19.7,0.473,0.875,16.1,0.579,0.679,0.199,0.016,0.333,0.333,1,0.532,0.118,0.334,8,Skilled Forward,PF,6.86E-105,2.39E-14,1.61E-29,0,1.60E-08,2.83E-136,0,0.999999984,5.73E-22
2011abynumlal,andrew,bynum,2011,lal,84,10.6,26.1,7.4,0.7,4,13.9,28.2,23.8,22.9,0.425,0.692,20,0.56,0.675,0.176,0.006,0.2,0.2,1,0.476,0.435,0.083,8,Skilled Forward,C,2.55E-146,6.06E-41,1.65E-101,0,1.87E-08,8.62E-114,0,0.999999981,3.30E-26
2013sibakaokc,serge,ibaka,2013,okc,82,10,19.6,5.2,0.7,6.7,10.3,23.1,19.8,19.6,0.203,0.784,18.4,0.546,0.79,0.132,0.061,0.817,0.383,0.957,0.327,0.15,0.461,8,Skilled Forward,PF,6.06E-153,2.29E-17,1.84E-55,0,2.84E-08,8.75E-89,0,0.999999972,6.22E-45
2016njokicden,nikola,jokic,2016,den,82,11.6,27.2,28.8,1.5,2.1,15.2,29.3,23.5,26.3,0.267,0.825,20.5,0.628,0.566,0.029,0.163,0.072,0.324,0.933,0.349,0.293,0.199,8,Skilled Forward,C,7.81E-52,7.87E-39,1.42E-49,0,3.70E-08,2.81E-25,0,0.999999963,2.28E-17
2017ktownsmin,karl-anthony,towns,2017,min,84,9.3,30.9,10.8,1.1,3.5,10.5,29.9,22.9,24.9,0.343,0.858,20.1,0.585,0.642,0.096,0.243,0.161,0.421,0.975,0.341,0.246,0.169,8,Skilled Forward,C,1.72E-52,1.89E-08,1.04E-13,0,4.62E-10,6.08E-41,0,0.999999936,4.49E-08
2010bgriffinlac,blake,griffin,2010,lac,82,10.2,26.9,18.7,1,1.1,11.7,30.7,27.3,21.9,0.505,0.642,22.9,0.51,0.666,0.176,0.017,0.042,0.292,1,0.408,0.318,0.256,8,Skilled Forward,PF,6.74E-99,8.90E-27,1.03E-32,0,8.80E-08,2.36E-120,0,0.999999912,8.70E-19
2017blopezlal,brook,lopez,2017,lal,84,4.6,13.4,11.6,0.8,4.6,10.2,26.5,23.5,16.5,0.199,0.703,21.9,0.549,0.545,0.059,0.41,0.123,0.345,0.982,0.178,0.251,0.162,8,Skilled Forward,C,1.37E-33,1.76E-08,2.10E-10,0,7.09E-08,5.81E-28,0,0.999999911,1.75E-18
2016ko'quinnnyk,kyle,o'quinn,2016,nyk,82,13.7,24.8,14.8,1.5,6.9,14.5,20.2,18.5,20.5,0.201,0.771,16.8,0.538,0.662,0.092,0.041,0.118,0.118,1,0.47,0.119,0.371,8,Skilled Forward,C,1.74E-242,7.22E-45,1.16E-184,0,9.61E-08,1.57E-71,0,0.999999904,2.78E-75
2010zrandolphmem,zach,randolph,2010,mem,81,14.2,26,10.2,1.2,0.7,10,28.8,25,22.6,0.333,0.758,22.8,0.515,0.485,0.011,0.036,0.116,0.186,1,0.394,0.329,0.241,8,Skilled Forward,PF,1.46E-139,4.68E-27,1.23E-110,0,1.26E-07,7.97E-54,0,0.999999874,5.28E-35
2018mharrelllac,montrezl,harrell,2018,lac,80,9.3,16.7,12.5,1.6,4,11,29.8,23.5,23.4,0.466,0.643,19.4,0.623,0.696,0.252,0.019,0.059,0.176,1,0.669,0.242,0.07,8,Skilled Forward,C,1.08E-193,3.66E-55,2.14E-136,0,1.33E-07,8.08E-227,0,0.999999867,8.31E-22
2018sibakator,serge,ibaka,2018,tor,82,8.6,23.2,7.7,0.7,4.3,10.7,26.5,22.9,18.7,0.202,0.763,20.9,0.586,0.788,0.09,0.193,0.107,0.29,0.98,0.259,0.229,0.32,8,Skilled Forward,C,3.06E-57,9.21E-15,2.58E-28,0,1.64E-07,9.56E-40,0,0.999999824,1.27E-08
2011tyoungphi,thaddeus,young,2011,phi,80,8.6,12,7.3,2,1.8,6.8,24.6,21.5,18.9,0.21,0.771,21,0.508,0.651,0.073,0.006,0.25,0.25,1,0.389,0.255,0.351,8,Skilled Forward,PF,2.48E-50,5.99E-10,6.37E-40,0,1.88E-07,2.25E-26,0,0.999999811,9.88E-12
2012rhibbertind,roy,hibbert,2012,ind,86,14.8,17.4,8.9,0.9,6.7,14.5,22,22.5,17.3,0.261,0.741,20.2,0.449,0.523,0.064,0.005,0.5,0.25,1,0.36,0.424,0.211,8,Skilled Forward,C,8.37E-180,6.36E-26,1.95E-82,0,2.27E-07,4.53E-75,0,0.999999773,1.35E-42
2017jvalanciunastor,jonas,valanciunas,2017,tor,84,12.1,30.3,7.5,0.8,3.2,12.9,28,22.7,22.5,0.307,0.806,19.6,0.587,0.636,0.108,0.108,0.081,0.405,0.9,0.443,0.333,0.118,8,Skilled Forward,C,4.15E-69,2.48E-12,3.89E-26,0,2.78E-07,7.35E-51,0,0.999999722,3.05E-11
2017jsmithwas,jason,smith,2017,was,84,7.2,13.9,7.4,0.5,4,11.4,19.7,21.7,8.8,0.183,0.905,20,0.494,0.854,0.043,0.278,0.344,0.125,1,0.209,0.096,0.417,8,Skilled Forward,C,1.45E-54,4.75E-09,9.91E-31,0,2.97E-07,3.54E-18,0,0.999999698,9.64E-33
2011klovemin,kevin,love,2011,min,82,11.6,26.4,10,1.1,0.9,9.2,34.3,28.8,25.4,0.434,0.824,25.4,0.475,0.482,0.04,0.266,0.092,0.372,0.924,0.335,0.159,0.24,8,Skilled Forward,PF,4.82E-46,2.39E-09,1.03E-26,0,8.60E-11,2.03E-37,0,0.999999605,3.93E-07
